"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"East Hampton School District","=""0420011""","Support services - school based administration","$1,882,746",1732,2,"$1,087"
"East Hampton School District","=""0420011""","Central and other support services","$1,517,876",1732,2,"$876"
"East Hampton School District","=""0420011""","Operation and maintenance of plant","$2,768,648",1732,2,"$1,599"
"East Hampton School District","=""0420011""","Student transportation services","$1,866,908",1717,3,"$1,087"
"East Hampton School District","=""0420011""","Food services","$0",1732,2,"$0"
"East Hampton School District","=""0420011""","Enterprise operations","$0",1732,2,"$0"
"East Hampton School District","=""0420011""","Minor school construction","N/A","N/A","N/A","N/A"
"East Hampton School District","=""0420011""","Total","$39,589,543",1789,1,"$22,129"
"East Hartford School District","=""0430011""","Instruction","$91,225,323",8247,1,"$11,062"
"East Hartford School District","=""0430011""","Support services - students","$9,074,883",6380,2,"$1,422"
"East Hartford School District","=""0430011""","Support services - instruction","$2,028,771",6380,2,"$318"
"East Hartford School District","=""0430011""","Support services - general administration","$59,918",6380,2,"$9"
"East Hartford School District","=""0430011""","Support services - school based administration","$9,994,685",6380,2,"$1,567"
"East Hartford School District","=""0430011""","Central and other support services","$10,103,365",6380,2,"$1,584"
"East Hartford School District","=""0430011""","Operation and maintenance of plant","$12,330,063",6380,2,"$1,933"
"East Hartford School District","=""0430011""","Student transportation services","$8,249,818",5493,3,"$1,502"
"East Hartford School District","=""0430011""","Food services","$0",6380,2,"$0"
"East Hartford School District","=""0430011""","Enterprise operations","$0",6380,2,"$0"
"East Hartford School District","=""0430011""","Minor school construction","N/A","N/A","N/A","N/A"
"East Hartford School District","=""0430011""","Total","$143,066,827",8247,1,"$17,348"
"East Haven School District","=""0440011""","Instruction","$38,173,091",3228,1,"$11,826"
"East Haven School District","=""0440011""","Support services - students","$5,066,749",2867,2,"$1,767"
"East Haven School District","=""0440011""","Support services - instruction","$3,525,512",2867,2,"$1,230"
"East Haven School District","=""0440011""","Support services - general administration","$2,302,538",2867,2,"$803"
"East Haven School District","=""0440011""","Support services - school based administration","$2,398,363",2867,2,"$837"
"East Haven School District","=""0440011""","Central and other support services","$1,961,623",2867,2,"$684"
"East Haven School District","=""0440011""","Operation and maintenance of plant","$3,507,644",2867,2,"$1,223"
"East Haven School District","=""0440011""","Student transportation services","$4,346,515",2213,3,"$1,964"
"East Haven School District","=""0440011""","Food services","$0",2867,2,"$0"
"East Haven School District","=""0440011""","Enterprise operations","$728",2867,2,"$0"
"East Haven School District","=""0440011""","Minor school construction","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","Total","$61,282,763",3228,1,"$18,985"
"East Lyme School District","=""0450011""","Instruction","$32,031,029",2553,1,"$12,546"
"East Lyme School District","=""0450011""","Support services - students","$5,131,039",2496,2,"$2,056"
"East Lyme School District","=""0450011""","Support services - instruction","$2,328,103",2496,2,"$933"
"East Lyme School District","=""0450011""","Support services - general administration","$2,505,988",2496,2,"$1,004"
"East Lyme School District","=""0450011""","Support services - school based administration","$3,471,528",2496,2,"$1,391"
"East Lyme School District","=""0450011""","Central and other support services","$2,818,777",2496,2,"$1,129"
"East Lyme School District","=""0450011""","Operation and maintenance of plant","$7,559,698",2496,2,"$3,029"
"East Lyme School District","=""0450011""","Student transportation services","$2,435,214",2565,3,"$949"
"East Lyme School District","=""0450011""","Food services","$0",2496,2,"$0"
"East Lyme School District","=""0450011""","Enterprise operations","$1,383,164",2496,2,"$554"
"East Lyme School District","=""0450011""","Minor school construction","N/A","N/A","N/A","N/A"
"East Lyme School District","=""0450011""","Total","$59,664,541",2553,1,"$23,370"
"East Windsor School District","=""0470011""","Instruction","$19,685,838",1184,1,"$16,627"
"East Windsor School District","=""0470011""","Support services - students","$2,656,693",1048,2,"$2,535"
"East Windsor School District","=""0470011""","Support services - instruction","$732,107",1048,2,"$699"
"East Windsor School District","=""0470011""","Support services - general administration","$402,885",1048,2,"$384"
"East Windsor School District","=""0470011""","Support services - school based administration","$2,896,434",1048,2,"$2,764"
"East Windsor School District","=""0470011""","Central and other support services","$572,284",1048,2,"$546"
"East Windsor School District","=""0470011""","Operation and maintenance of plant","$2,063,974",1048,2,"$1,969"
"East Windsor School District","=""0470011""","Student transportation services","$1,520,671",1101,3,"$1,381"
"East Windsor School District","=""0470011""","Food services","$0",1048,2,"$0"
"East Windsor School District","=""0470011""","Enterprise operations","$193,118",1048,2,"$184"
"East Windsor School District","=""0470011""","Minor school construction","N/A","N/A","N/A","N/A"
"East Windsor School District","=""0470011""","Total","$30,724,004",1184,1,"$25,949"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Instruction","$11,525,079",368,1,"$31,318"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Support services - students","$5,735,806",368,2,"$15,586"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Support services - instruction","$198,263",368,2,"$539"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Support services - general administration","$208,690",368,2,"$567"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Support services - school based administration","$0",368,2,"$0"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Central and other support services","$500",368,2,"$1"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Operation and maintenance of plant","$109,208",368,2,"$297"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Student transportation services","$193,700",81,3,"$2,391"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Food services","$0",368,2,"$0"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Enterprise operations","$0",368,2,"$0"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Minor school construction","N/A","N/A","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Total","$17,971,245",368,1,"$48,835"
"Eastford School District","=""0390011""","Instruction","$3,666,814",222,1,"$16,517"
"Eastford School District","=""0390011""","Support services - students","$285,538",173,2,"$1,651"
"Eastford School District","=""0390011""","Support services - instruction","$110,973",173,2,"$641"
"Eastford School District","=""0390011""","Support services - general administration","$189,593",173,2,"$1,096"
"Eastford School District","=""0390011""","Support services - school based administration","$210,004",173,2,"$1,214"
"Eastford School District","=""0390011""","Central and other support services","$14,875",173,2,"$86"
"Eastford School District","=""0390011""","Operation and maintenance of plant","$264,177",173,2,"$1,527"
"Eastford School District","=""0390011""","Student transportation services","$205,377",226,3,"$909"
"Eastford School District","=""0390011""","Food services","$0",173,2,"$0"
"Eastford School District","=""0390011""","Enterprise operations","$0",173,2,"$0"
"Eastford School District","=""0390011""","Minor school construction","N/A","N/A","N/A","N/A"
"Eastford School District","=""0390011""","Total","$4,947,351",222,1,"$22,285"
"Easton School District","=""0460011""","Instruction","$13,707,192",906,1,"$15,129"
"Easton School District","=""0460011""","Support services - students","$830,246",903,2,"$919"
"Easton School District","=""0460011""","Support services - instruction","$437,839",903,2,"$485"
"Easton School District","=""0460011""","Support services - general administration","$361,857",903,2,"$401"
"Easton School District","=""0460011""","Support services - school based administration","$1,731,535",903,2,"$1,918"
"Easton School District","=""0460011""","Central and other support services","$437,758",903,2,"$485"
"Easton School District","=""0460011""","Operation and maintenance of plant","$1,830,042",903,2,"$2,027"
"Easton School District","=""0460011""","Student transportation services","$1,137,922",903,3,"$1,260"
"Easton School District","=""0460011""","Food services","$109",903,2,"$0"
"Easton School District","=""0460011""","Enterprise operations","$0",903,2,"$0"
"Easton School District","=""0460011""","Minor school construction","N/A","N/A","N/A","N/A"
"Easton School District","=""0460011""","Total","$20,474,499",906,1,"$22,599"
"EdAdvance","=""2420014""","Instruction","$7,681,284",288,1,"$26,671"
"EdAdvance","=""2420014""","Support services - students","$2,050,077",288,2,"$7,118"
"EdAdvance","=""2420014""","Support services - instruction","$2,208,349",288,2,"$7,668"
"EdAdvance","=""2420014""","Support services - general administration","$3,291,051",288,2,"$11,427"
"EdAdvance","=""2420014""","Support services - school based administration","$593,111",288,2,"$2,059"
"EdAdvance","=""2420014""","Central and other support services","$374,285",288,2,"$1,300"
"EdAdvance","=""2420014""","Operation and maintenance of plant","$945,957",288,2,"$3,285"
"EdAdvance","=""2420014""","Student transportation services","$0",0,3,"$0"
"EdAdvance","=""2420014""","Food services","$0",288,2,"$0"
"EdAdvance","=""2420014""","Enterprise operations","$0",288,2,"$0"
"EdAdvance","=""2420014""","Minor school construction","N/A","N/A","N/A","N/A"
"EdAdvance","=""2420014""","Total","$17,144,115",288,1,"$59,528"
"Ellington School District","=""0480011""","Instruction","$31,112,891",2640,1,"$11,785"
"Ellington School District","=""0480011""","Support services - students","$5,105,630",2545,2,"$2,006"
"Ellington School District","=""0480011""","Support services - instruction","$1,145,575",2545,2,"$450"
"Ellington School District","=""0480011""","Support services - general administration","$998,951",2545,2,"$393"
"Ellington School District","=""0480011""","Support services - school based administration","$2,579,063",2545,2,"$1,013"
"Ellington School District","=""0480011""","Central and other support services","$1,688,968",2545,2,"$664"
"Ellington School District","=""0480011""","Operation and maintenance of plant","$4,187,095",2545,2,"$1,645"
"Ellington School District","=""0480011""","Student transportation services","$3,105,599",2593,3,"$1,198"
"Ellington School District","=""0480011""","Food services","$0",2545,2,"$0"
"Ellington School District","=""0480011""","Enterprise operations","$516,531",2545,2,"$203"
"Ellington School District","=""0480011""","Minor school construction","N/A","N/A","N/A","N/A"
"Ellington School District","=""0480011""","Total","$50,440,303",2640,1,"$19,106"
"Elm City College Preparatory School District","=""2890013""","Instruction","$7,402,977",775,1,"$9,552"
"Elm City College Preparatory School District","=""2890013""","Support services - students","$913,735",775,2,"$1,179"
"Elm City College Preparatory School District","=""2890013""","Support services - instruction","$188,290",775,2,"$243"
"Elm City College Preparatory School District","=""2890013""","Support services - general administration","$0",775,2,"$0"
"Elm City College Preparatory School District","=""2890013""","Support services - school based administration","$1,965,092",775,2,"$2,536"
"Elm City College Preparatory School District","=""2890013""","Central and other support services","$1,795,094",775,2,"$2,316"
"Elm City College Preparatory School District","=""2890013""","Operation and maintenance of plant","$405,213",775,2,"$523"
"Elm City College Preparatory School District","=""2890013""","Student transportation services","$199,413",298,3,"$669"
"Elm City College Preparatory School District","=""2890013""","Food services","$0",775,2,"$0"
"Elm City College Preparatory School District","=""2890013""","Enterprise operations","$0",775,2,"$0"
"Elm City College Preparatory School District","=""2890013""","Minor school construction","N/A","N/A","N/A","N/A"
"Elm City College Preparatory School District","=""2890013""","Total","$12,869,813",775,1,"$16,606"
"Elm City Montessori School District","=""2910013""","Instruction","$3,162,269",305,1,"$10,368"
"Elm City Montessori School District","=""2910013""","Support services - students","$437,306",305,2,"$1,434"
"Elm City Montessori School District","=""2910013""","Support services - instruction","$134,275",305,2,"$440"
"Elm City Montessori School District","=""2910013""","Support services - general administration","$84,103",305,2,"$276"
"Elm City Montessori School District","=""2910013""","Support services - school based administration","$690,393",305,2,"$2,264"
"Elm City Montessori School District","=""2910013""","Central and other support services","$98,842",305,2,"$324"
"Elm City Montessori School District","=""2910013""","Operation and maintenance of plant","$671,135",305,2,"$2,200"
"Elm City Montessori School District","=""2910013""","Student transportation services","$151,866",266,3,"$571"
"Elm City Montessori School District","=""2910013""","Food services","$0",305,2,"$0"
"Elm City Montessori School District","=""2910013""","Enterprise operations","$0",305,2,"$0"
"Elm City Montessori School District","=""2910013""","Minor school construction","N/A","N/A","N/A","N/A"
"Elm City Montessori School District","=""2910013""","Total","$5,430,188",305,1,"$17,804"
"Enfield School District","=""0490011""","Instruction","$64,209,048",5033,1,"$12,758"
"Enfield School District","=""0490011""","Support services - students","$1,129,927",4805,2,"$235"
"Enfield School District","=""0490011""","Support services - instruction","$2,812,921",4805,2,"$585"
"Enfield School District","=""0490011""","Support services - general administration","$2,698,129",4805,2,"$562"
"Enfield School District","=""0490011""","Support services - school based administration","$4,796,971",4805,2,"$998"
"Enfield School District","=""0490011""","Central and other support services","$2,933,370",4805,2,"$610"
"Enfield School District","=""0490011""","Operation and maintenance of plant","$8,603,761",4805,2,"$1,791"
"Enfield School District","=""0490011""","Student transportation services","$6,038,284",2183,3,"$2,766"
"Enfield School District","=""0490011""","Food services","$440,270",4805,2,"$92"
"Enfield School District","=""0490011""","Enterprise operations","$863,964",4805,2,"$180"
"Enfield School District","=""0490011""","Minor school construction","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","Total","$94,526,645",5033,1,"$18,781"
"Essex School District","=""0500011""","Instruction","$5,519,878",301,1,"$18,338"
"Essex School District","=""0500011""","Support services - students","$379,995",299,2,"$1,271"
"Essex School District","=""0500011""","Support services - instruction","$137,614",299,2,"$460"
"Essex School District","=""0500011""","Support services - general administration","$390,639",299,2,"$1,306"
"Essex School District","=""0500011""","Support services - school based administration","$592,902",299,2,"$1,983"
"Essex School District","=""0500011""","Central and other support services","$95,712",299,2,"$320"
"Essex School District","=""0500011""","Operation and maintenance of plant","$785,413",299,2,"$2,627"
"Essex School District","=""0500011""","Student transportation services","$326,231",279,3,"$1,169"
"Essex School District","=""0500011""","Food services","$103,041",299,2,"$345"
"Essex School District","=""0500011""","Enterprise operations","$0",299,2,"$0"
"Essex School District","=""0500011""","Minor school construction","N/A","N/A","N/A","N/A"
"Essex School District","=""0500011""","Total","$8,331,424",301,1,"$27,679"
"Explorations District","=""2720013""","Instruction","$790,466",88,1,"$8,983"
"Explorations District","=""2720013""","Support services - students","$170,384",88,2,"$1,936"
"Explorations District","=""2720013""","Support services - instruction","$13,526",88,2,"$154"
"Explorations District","=""2720013""","Support services - general administration","$51,629",88,2,"$587"
"Explorations District","=""2720013""","Support services - school based administration","$410,890",88,2,"$4,669"
"Explorations District","=""2720013""","Central and other support services","$0",88,2,"$0"
"Explorations District","=""2720013""","Operation and maintenance of plant","$204,906",88,2,"$2,328"
"Explorations District","=""2720013""","Student transportation services","$38,510",35,3,"$1,100"
"Explorations District","=""2720013""","Food services","$0",88,2,"$0"
"Explorations District","=""2720013""","Enterprise operations","$0",88,2,"$0"
"Explorations District","=""2720013""","Minor school construction","N/A","N/A","N/A","N/A"
"Explorations District","=""2720013""","Total","$1,680,311",88,1,"$19,094"
"Fairfield School District","=""0510011""","Instruction","$135,781,708",9409,1,"$14,431"
"Fairfield School District","=""0510011""","Support services - students","$21,536,769",9281,2,"$2,321"
"Fairfield School District","=""0510011""","Support services - instruction","$10,220,840",9281,2,"$1,101"
"Fairfield School District","=""0510011""","Support services - general administration","$896,632",9281,2,"$97"
"Fairfield School District","=""0510011""","Support services - school based administration","$15,176,076",9281,2,"$1,635"
"Fairfield School District","=""0510011""","Central and other support services","$7,890,699",9281,2,"$850"
"Fairfield School District","=""0510011""","Operation and maintenance of plant","$21,656,341",9281,2,"$2,333"
"Fairfield School District","=""0510011""","Student transportation services","$10,607,907",6915,3,"$1,534"
"Fairfield School District","=""0510011""","Food services","$0",9281,2,"$0"
"Fairfield School District","=""0510011""","Enterprise operations","$3,111,834",9281,2,"$335"
"Fairfield School District","=""0510011""","Minor school construction","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Total","$226,878,807",9409,1,"$24,113"
"Farmington School District","=""0520011""","Instruction","$51,659,143",4278,1,"$12,076"
"Farmington School District","=""0520011""","Support services - students","$8,421,775",4181,2,"$2,014"
"Farmington School District","=""0520011""","Support services - instruction","$3,719,018",4181,2,"$890"
"Farmington School District","=""0520011""","Support services - general administration","$1,423,696",4181,2,"$341"
"Farmington School District","=""0520011""","Support services - school based administration","$5,096,143",4181,2,"$1,219"
"Farmington School District","=""0520011""","Central and other support services","$2,060,603",4181,2,"$493"
"Farmington School District","=""0520011""","Operation and maintenance of plant","$8,420,021",4181,2,"$2,014"
"Farmington School District","=""0520011""","Student transportation services","$4,698,474",3683,3,"$1,276"
"Farmington School District","=""0520011""","Food services","$0",4181,2,"$0"
"Farmington School District","=""0520011""","Enterprise operations","$0",4181,2,"$0"
"Farmington School District","=""0520011""","Minor school construction","N/A","N/A","N/A","N/A"
"Farmington School District","=""0520011""","Total","$85,498,874",4278,1,"$19,986"
"Franklin School District","=""0530011""","Instruction","$3,582,805",260,1,"$13,780"
"Franklin School District","=""0530011""","Support services - students","$204,962",191,2,"$1,073"
"Franklin School District","=""0530011""","Support services - instruction","$32,322",191,2,"$169"
"Franklin School District","=""0530011""","Support services - general administration","$355,659",191,2,"$1,862"
"Franklin School District","=""0530011""","Support services - school based administration","$46,311",191,2,"$242"
"Franklin School District","=""0530011""","Central and other support services","$69,478",191,2,"$364"
"Franklin School District","=""0530011""","Operation and maintenance of plant","$453,351",191,2,"$2,374"
"Franklin School District","=""0530011""","Student transportation services","$415,039",345,3,"$1,203"
"Franklin School District","=""0530011""","Food services","$0",191,2,"$0"
"Franklin School District","=""0530011""","Enterprise operations","$750",191,2,"$4"
"Franklin School District","=""0530011""","Minor school construction","N/A","N/A","N/A","N/A"
"Franklin School District","=""0530011""","Total","$5,160,677",260,1,"$19,849"
"Glastonbury School District","=""0540011""","Instruction","$79,161,346",5870,1,"$13,486"
"Glastonbury School District","=""0540011""","Support services - students","$8,981,096",5662,2,"$1,586"
"Glastonbury School District","=""0540011""","Support services - instruction","$6,502,278",5662,2,"$1,148"
"Glastonbury School District","=""0540011""","Support services - general administration","$1,505,830",5662,2,"$266"
"Glastonbury School District","=""0540011""","Support services - school based administration","$5,124,544",5662,2,"$905"
"Glastonbury School District","=""0540011""","Central and other support services","$4,228,427",5662,2,"$747"
"Glastonbury School District","=""0540011""","Operation and maintenance of plant","$12,451,423",5662,2,"$2,199"
"Glastonbury School District","=""0540011""","Student transportation services","$6,192,144",5051,3,"$1,226"
"Glastonbury School District","=""0540011""","Food services","$0",5662,2,"$0"
"Glastonbury School District","=""0540011""","Enterprise operations","$2,321,187",5662,2,"$410"
"Glastonbury School District","=""0540011""","Minor school construction","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Total","$126,468,276",5870,1,"$21,545"
"Goodwin University Educational Services (GUES)","=""2310018""","Instruction","$15,212,792",1239,1,"$12,278"
"Goodwin University Educational Services (GUES)","=""2310018""","Support services - students","$54,022",1239,2,"$44"
"Goodwin University Educational Services (GUES)","=""2310018""","Support services - instruction","$406,604",1239,2,"$328"
"Goodwin University Educational Services (GUES)","=""2310018""","Support services - general administration","$980,192",1239,2,"$791"
"Goodwin University Educational Services (GUES)","=""2310018""","Support services - school based administration","$4,267,105",1239,2,"$3,444"
"Goodwin University Educational Services (GUES)","=""2310018""","Central and other support services","$1,167,638",1239,2,"$942"
"Goodwin University Educational Services (GUES)","=""2310018""","Operation and maintenance of plant","$2,690,787",1239,2,"$2,172"
"Goodwin University Educational Services (GUES)","=""2310018""","Student transportation services","$163,981",25,3,"$6,559"
"Goodwin University Educational Services (GUES)","=""2310018""","Food services","$0",1239,2,"$0"
"Goodwin University Educational Services (GUES)","=""2310018""","Enterprise operations","$0",1239,2,"$0"
"Goodwin University Educational Services (GUES)","=""2310018""","Minor school construction","N/A","N/A","N/A","N/A"
"Goodwin University Educational Services (GUES)","=""2310018""","Total","$24,943,120",1239,1,"$20,132"
"Granby School District","=""0560011""","Instruction","$22,611,887",1805,1,"$12,527"
"Granby School District","=""0560011""","Support services - students","$3,209,956",1729,2,"$1,857"
"Granby School District","=""0560011""","Support services - instruction","$1,306,967",1729,2,"$756"
"Granby School District","=""0560011""","Support services - general administration","$708,085",1729,2,"$410"
"Granby School District","=""0560011""","Support services - school based administration","$2,448,966",1729,2,"$1,416"
"Granby School District","=""0560011""","Central and other support services","$810,953",1729,2,"$469"
"Granby School District","=""0560011""","Operation and maintenance of plant","$3,603,669",1729,2,"$2,084"
"Granby School District","=""0560011""","Student transportation services","$2,325,183",1497,3,"$1,553"
"Granby School District","=""0560011""","Food services","$0",1729,2,"$0"
"Granby School District","=""0560011""","Enterprise operations","$808,390",1729,2,"$468"
"Granby School District","=""0560011""","Minor school construction","N/A","N/A","N/A","N/A"
"Granby School District","=""0560011""","Total","$37,834,056",1805,1,"$20,961"
"Great Oaks Charter School District","=""2940013""","Instruction","$3,607,109",659,1,"$5,474"
"Great Oaks Charter School District","=""2940013""","Support services - students","$154,926",659,2,"$235"
"Great Oaks Charter School District","=""2940013""","Support services - instruction","$380,536",659,2,"$577"
"Great Oaks Charter School District","=""2940013""","Support services - general administration","$112,899",659,2,"$171"
"Great Oaks Charter School District","=""2940013""","Support services - school based administration","$3,476,034",659,2,"$5,275"
"Great Oaks Charter School District","=""2940013""","Central and other support services","$1,055,557",659,2,"$1,602"
"Great Oaks Charter School District","=""2940013""","Operation and maintenance of plant","$2,393,620",659,2,"$3,632"
"Great Oaks Charter School District","=""2940013""","Student transportation services","$583,456",310,3,"$1,882"
"Great Oaks Charter School District","=""2940013""","Food services","$0",659,2,"$0"
"Great Oaks Charter School District","=""2940013""","Enterprise operations","$0",659,2,"$0"
"Great Oaks Charter School District","=""2940013""","Minor school construction","N/A","N/A","N/A","N/A"
"Great Oaks Charter School District","=""2940013""","Total","$11,764,137",659,1,"$17,851"
"Greenwich School District","=""0570011""","Instruction","$159,498,533",8605,1,"$18,536"
"Greenwich School District","=""0570011""","Support services - students","$16,764,899",8561,2,"$1,958"
"Greenwich School District","=""0570011""","Support services - instruction","$15,534,576",8561,2,"$1,815"
"Greenwich School District","=""0570011""","Support services - general administration","$3,521,550",8561,2,"$411"
"Greenwich School District","=""0570011""","Support services - school based administration","$11,152,676",8561,2,"$1,303"
"Greenwich School District","=""0570011""","Central and other support services","$7,307,513",8561,2,"$854"
"Greenwich School District","=""0570011""","Operation and maintenance of plant","$16,204,627",8561,2,"$1,893"
"Greenwich School District","=""0570011""","Student transportation services","$9,159,995",3623,3,"$2,528"
"Greenwich School District","=""0570011""","Food services","$0",8561,2,"$0"
"Greenwich School District","=""0570011""","Enterprise operations","$0",8561,2,"$0"
"Greenwich School District","=""0570011""","Minor school construction","N/A","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Total","$239,144,369",8605,1,"$27,791"
"Griswold School District","=""0580011""","Instruction","$20,419,675",1823,1,"$11,201"
"Griswold School District","=""0580011""","Support services - students","$2,352,804",1760,2,"$1,337"
"Griswold School District","=""0580011""","Support services - instruction","$370,570",1760,2,"$211"
"Griswold School District","=""0580011""","Support services - general administration","$491,129",1760,2,"$279"
"Griswold School District","=""0580011""","Support services - school based administration","$1,635,960",1760,2,"$930"
"Griswold School District","=""0580011""","Central and other support services","$3,155,148",1760,2,"$1,793"
"Griswold School District","=""0580011""","Operation and maintenance of plant","$3,965,927",1760,2,"$2,253"
"Griswold School District","=""0580011""","Student transportation services","$2,754,902",1858,3,"$1,483"
"Griswold School District","=""0580011""","Food services","$0",1760,2,"$0"
"Griswold School District","=""0580011""","Enterprise operations","$0",1760,2,"$0"
"Griswold School District","=""0580011""","Minor school construction","N/A","N/A","N/A","N/A"
"Griswold School District","=""0580011""","Total","$35,146,116",1823,1,"$19,279"
"Groton School District","=""0590011""","Instruction","$46,850,064",4413,1,"$10,616"
"Groton School District","=""0590011""","Support services - students","$14,270,022",4077,2,"$3,500"
"Groton School District","=""0590011""","Support services - instruction","$1,905,075",4077,2,"$467"
"Groton School District","=""0590011""","Support services - general administration","$3,091,701",4077,2,"$758"
"Groton School District","=""0590011""","Support services - school based administration","$4,657,163",4077,2,"$1,142"
"Groton School District","=""0590011""","Central and other support services","$1,755,857",4077,2,"$431"
"Groton School District","=""0590011""","Operation and maintenance of plant","$8,737,428",4077,2,"$2,143"
"Groton School District","=""0590011""","Student transportation services","$7,234,388",4029,3,"$1,796"
"Groton School District","=""0590011""","Food services","$0",4077,2,"$0"
"Groton School District","=""0590011""","Enterprise operations","$0",4077,2,"$0"
"Groton School District","=""0590011""","Minor school construction","N/A","N/A","N/A","N/A"
"Groton School District","=""0590011""","Total","$88,501,698",4413,1,"$20,055"
"Guilford School District","=""0600011""","Instruction","$43,042,861",3155,1,"$13,643"
"Guilford School District","=""0600011""","Support services - students","$4,852,708",3107,2,"$1,562"
"Guilford School District","=""0600011""","Support services - instruction","$2,283,262",3107,2,"$735"
"Guilford School District","=""0600011""","Support services - general administration","$1,731,028",3107,2,"$557"
"Guilford School District","=""0600011""","Support services - school based administration","$4,862,878",3107,2,"$1,565"
"Guilford School District","=""0600011""","Central and other support services","$698,180",3107,2,"$225"
"Guilford School District","=""0600011""","Operation and maintenance of plant","$7,843,764",3107,2,"$2,525"
"Guilford School District","=""0600011""","Student transportation services","$4,841,883",3190,3,"$1,518"
"Guilford School District","=""0600011""","Food services","$0",3107,2,"$0"
"Guilford School District","=""0600011""","Enterprise operations","$1,045,452",3107,2,"$336"
"Guilford School District","=""0600011""","Minor school construction","N/A","N/A","N/A","N/A"
"Guilford School District","=""0600011""","Total","$71,202,015",3155,1,"$22,568"
"Hamden School District","=""0620011""","Instruction","$103,273,485",6397,1,"$16,144"
"Hamden School District","=""0620011""","Support services - students","$11,271,157",5371,2,"$2,099"
"Hamden School District","=""0620011""","Support services - instruction","$1,799,758",5371,2,"$335"
"Hamden School District","=""0620011""","Support services - general administration","$2,495,168",5371,2,"$465"
"Hamden School District","=""0620011""","Support services - school based administration","$6,070,351",5371,2,"$1,130"
"Hamden School District","=""0620011""","Central and other support services","$3,116,528",5371,2,"$580"
"Hamden School District","=""0620011""","Operation and maintenance of plant","$7,167,620",5371,2,"$1,335"
"Hamden School District","=""0620011""","Student transportation services","$7,273,470",4646,3,"$1,566"
"Hamden School District","=""0620011""","Food services","$0",5371,2,"$0"
"Hamden School District","=""0620011""","Enterprise operations","$6,221,201",5371,2,"$1,158"
"Hamden School District","=""0620011""","Minor school construction","N/A","N/A","N/A","N/A"
"Hamden School District","=""0620011""","Total","$148,688,736",6397,1,"$23,244"
"Hampton School District","=""0630011""","Instruction","$1,285,489",84,1,"$15,303"
"Hampton School District","=""0630011""","Support services - students","$213,803",73,2,"$2,929"
"Hampton School District","=""0630011""","Support services - instruction","$529",73,2,"$7"
"Hampton School District","=""0630011""","Support services - general administration","$143,989",73,2,"$1,972"
"Hampton School District","=""0630011""","Support services - school based administration","$232,859",73,2,"$3,190"
"Hampton School District","=""0630011""","Central and other support services","$86,681",73,2,"$1,187"
"Hampton School District","=""0630011""","Operation and maintenance of plant","$276,694",73,2,"$3,790"
"Hampton School District","=""0630011""","Student transportation services","$151,187",118,3,"$1,281"
"Hampton School District","=""0630011""","Food services","$33,267",73,2,"$456"
"Hampton School District","=""0630011""","Enterprise operations","$0",73,2,"$0"
"Hampton School District","=""0630011""","Minor school construction","N/A","N/A","N/A","N/A"
"Hampton School District","=""0630011""","Total","$2,424,498",84,1,"$28,863"
"Hartford School District","=""0640011""","Instruction","$299,191,444",21531,1,"$13,896"
"Hartford School District","=""0640011""","Support services - students","$44,648,994",16494,2,"$2,707"
"Hartford School District","=""0640011""","Support services - instruction","$17,232,091",16494,2,"$1,045"
"Hartford School District","=""0640011""","Support services - general administration","$13,205,357",16494,2,"$801"
"Hartford School District","=""0640011""","Support services - school based administration","$24,863,642",16494,2,"$1,507"
"Hartford School District","=""0640011""","Central and other support services","$18,994,941",16494,2,"$1,152"
"Hartford School District","=""0640011""","Operation and maintenance of plant","$46,641,486",16494,2,"$2,828"
"Hartford School District","=""0640011""","Student transportation services","$32,488,525",8356,3,"$3,888"
"Hartford School District","=""0640011""","Food services","$0",16494,2,"$0"
