"Find School/District Results"
"Your search returned         2334 result(s)."

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","School Type","Inter-District Magnet","NCES Code","Designated High School","Agricultural Science and Technology (ASTE)","Title I Type","State Board of Education Approved","For Profit","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Nonpublic Elementary and Secondary Schools","Fairfield",="0516061","St. Catherine Academy","760 Tahmore Drive","Fairfield","CT",="06825","203-540-5381","203-540-5383","http://www.stcatherineacademy.org/","APSEP",,,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Fairfield",="0510821","St. Thomas Aquinas Catholic School","1719 Post Road","Fairfield","CT",="06824","203-255-0556","203-255-0596","http://www","Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Fairfield",="0515121","The Southport School","214 Main Street","Southport","CT",="06890","203-254-2044","203-255-4052",,"Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Fairfield",="0510921","The Unquowa School","981 Stratfield Road","Fairfield","CT",="06825","203-336-3801","203-336-3479",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0510211","Burr Elementary School","1960 Burr St.","Fairfield","CT",="06824","203-255-7385",,"http://fairfieldschools.org/schools/burr/",,,"Traditional/General Education",,="090153001378",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0510111","Dwight Elementary School","1600 Redding Rd.","Fairfield","CT",="06824","203-255-8312",,"http://fairfieldschools.org/schools/dwt/",,,"Traditional/General Education",,="090153000257",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Fairfield School District",="0518011","Early Childhood Center","755 Melville Ave.","Fairfield","CT",="06825","203-255-8380",,"http://fairfieldschools.org/schools/ecc/",,"Special Education-Pre-K Only",,,="090153000989",No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Fairfield School District",="0510911","Early Childhood Center at Holland Hill","105 Meadowcroft Road","Fairfield","CT",="06824","203-255-8314",,"https://hh.fairfieldschools.org/",,"Special Education-Pre-K Only",,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Fairfield School District",="0510811","Early Childhood Center at Stratfield","1407 Melville Avenue","Fairfield","CT",="06825","203-255-8332",,"http://fairfieldschools.org/schools/strat/",,"Special Education-Pre-K Only",,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0516011","Fairfield Ludlowe High School","785 Unquowa Rd.","Fairfield","CT",="06824","203-255-7201",,"http://fairfieldschools.org/schools/flhs/",,,"Traditional/General Education",,="090153001379",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Fairfield School District",="0510011","Fairfield School District","501 Kings Highway East, Suite 210","Fairfield","CT",="06825","203-255-8371",,"http://fairfieldschools.org/",,,,,="0901530",No,No,,No,No,,,,,,,,,,,,,,
"Program","Fairfield School District",="0510511","Fairfield School/Community Partnership","501 Kings Hwy East, Suite 210","Fairfield","CT",="06825","203-255-8371",,"http://fairfieldschools.org",,"Public Transition Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Fairfield School District",="0516211","Fairfield Warde High School","755 Melville Ave.","Fairfield","CT",="06825","203-255-8449",,"http://fairfieldschools.org/schools/fwhs/",,,"Traditional/General Education",,="090153000256",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Fairfield School District",="0515211","Fairfield Woods Middle School","1115 Fairfield Woods Rd.","Fairfield","CT",="06824","203-255-8334",,"http://fairfieldschools.org/schools/fwms/",,,"Traditional/General Education",,="090153000258",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0510411","Holland Hill School","105 Meadowcroft Road","Fairfield","CT",="06824","203-255-8314",,"http://fairfieldschools.org/schools/hh/",,,"Traditional/General Education",,="090153000260",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511711","Jennings School","31 Palm Dr.","Fairfield","CT",="06824","203-255-8316",,"http://fairfieldschools.org/schools/jen/",,,"Traditional/General Education",,="090153000261",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0510611","McKinley School","60 Thompson St.","Fairfield","CT",="06825","203-255-8318",,"http://fairfieldschools.org/schools/mck/",,,"Traditional/General Education",,="090153000262",No,No,"Targeted Assistance",No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0510711","Mill Hill School","635 Mill Hill Terrace","Southport","CT",="06890","203-255-8320",,"http://fairfieldschools.org/schools/mh/",,,"Traditional/General Education",,="090153000263",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511611","North Stratfield School","190 Putting Green Rd.","Fairfield","CT",="06825","203-255-8322",,"http://fairfieldschools.org/schools/ns/",,,"Traditional/General Education",,="090153000264",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511811","Osborn Hill School","760 Stillson Rd.","Fairfield","CT",="06824","203-255-8340",,"http://fairfieldschools.org/schools/oh/",,,"Traditional/General Education",,="090153000609",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511211","Riverfield School","1625 Mill Plain Rd.","Fairfield","CT",="06824","203-255-8328",,"http://fairfieldschools.org/schools/riv/",,,"Traditional/General Education",,="090153000267",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0515311","Roger Ludlowe Middle School","689 Unquowa Rd.","Fairfield","CT",="06824","203-255-8345",,"http://fairfieldschools.org/schools/rlms/",,,"Traditional/General Education",,="090153000919",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511311","Sherman School","250 Fern St.","Fairfield","CT",="06824","203-255-8330",,"http://fairfieldschools.org/schools/sherm/",,,"Traditional/General Education",,="090153000269",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0511411","Stratfield School","1407 Melville Ave.","Fairfield","CT",="06825","203-255-8332",,"http://fairfieldschools.org/schools/strat/",,,"Traditional/General Education",,="090153000270",No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Fairfield School District",="0515111","Tomlinson Middle School","200 Unquowa Rd.","Fairfield","CT",="06824","203-255-8336",,"http://fairfieldschools.org/schools/tms/",,,"Traditional/General Education",,="090153000271",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Fairfield School District",="0510311","Walter Fitzgerald Campus","309 Barberry Road","Southport","CT",="06890","203-255-8384","203-255-4566","http://fairfieldschools.org/schools/wfc/",,"Alternative",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Farmington",="0520121","FAVARH - Project SEARCH at UConn Health","263 Farmington Avenue","Farmington","CT",="06030","860-679-8980","860-693-8662","https://favarh.org/","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Farmington",="0230282","FAVARH - River Bend Transition Academy","Tunxis Community College, 271 Scott Swam","Farmington","CT",="06030","860-693-6662 x126","860-693-8662","https://favarh.org/","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Farmington",="0526121","Miss Porter's School","60 Main Street","Farmington","CT",="06032","860-409-3694","860-409-3515",,"Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Farmington",="0520221","The Friends Room INC","61 Main Street","Unionville","CT",="06085","860-463-0842",,"https://thefriendsroom.org","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Farmington School District",="0520411","East Farms School","25 Wolf Pit Rd.","Farmington","CT","06032-2434","860-674-9519",,"http://www.fpsct.org",,,"Traditional/General Education",,="090156001206",No,No,,No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Farmington School District",="0520117","Farmington Adult Education","1 Monteith Drive","Farmington","CT",="06032","860-404-0290","860-404-0294","http://www.fpsct.org/fce",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Program","Farmington School District",="0520611","Farmington Alternative High School","10 Monteith Drive","Farmington","CT",="06032","860-673-2514",,"http://www.fpsct.org",,"Alternative",,,="090156001713",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Farmington School District",="0528011","Farmington Collaborative PK","20 Wolf Pit Rd.","Farmington","CT","06032-2435","860-677-2683",,"http://www.fpsct.org",,"Pre-Kindergarten",,,="090156001441",No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Farmington School District",="0526111","Farmington High School","10 Monteith Dr","Farmington","CT","06032-1052","860-673-2514",,,,,"Traditional/General Education",,="090156000273",No,No,"Targeted Assistance",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Farmington School District",="0520011","Farmington School District","1 Monteith Drive","Farmington","CT",="06032","860-673-8270",,"http://www.fpsct.org",,,,,="0901560",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Farmington School District",="0525111","Irving A. Robbins Middle School","20 Wolf Pit Rd.","Farmington","CT","06032-2435","860-677-2683",,,,,"Traditional/General Education",,="090156000274",No,No,"Targeted Assistance",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Public Schools","Farmington School District",="0520211","Noah Wallace School","2 School St.","Farmington","CT","06032-2323","860-677-1659",,,,,"Traditional/General Education",,="090156000275",No,No,"Targeted Assistance",No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Farmington School District",="0520111","Union School","173 School St.","Unionville","CT","06085-1096","860-673-2575",,,,,"Traditional/General Education",,="090156000276",No,No,"Targeted Assistance",No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Farmington School District",="0520311","West District School","114 West District Road","Unionville","CT",="06085","860-673-2579",,,,,"Traditional/General Education",,="090156000277",No,No,,No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Farmington School District",="0520511","West Woods Upper Elementary School","50 Judson Ln.","Farmington","CT",="06032","860-284-1230",,,,,"Traditional/General Education",,="090156001368",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Franklin School District",="0530111","Franklin Elementary School","206 Pond Rd.","North Franklin","CT","06254-1219","860-642-7063",,"http://www.franklinschoolct.org",,,"Traditional/General Education",,="090159000278",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Franklin School District",="0530011","Franklin School District","206 Pond Road","North Franklin","CT",="06254","860-642-7063",,"http://www.franklinschoolct.org",,,,,="0901590",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Glastonbury School District",="0540211","Buttonball Lane School","376 Buttonball Ln.","Glastonbury","CT","06033-3226","860-652-7276","860-652-7285","http://sites.google.com/a/glastonburyus.org/buttonball/",,,"Traditional/General Education",,="090162000280",No,No,,No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Glastonbury School District",="0540811","Gideon Welles School","1029 Neipsic Rd.","Glastonbury","CT","06033-2571","860-652-7800","860-652-7825","http://sites.google.com/a/glastonburyus.org/gideon/",,,"Traditional/General Education",,="090162000279",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Glastonbury School District",="0546111","Glastonbury High School","330 Hubbard St.","Glastonbury","CT","06033-3047","860-652-7200","860-652-7267","http://sites.google.com/a/glastonburyus.org/ghs/",,,"Traditional/General Education",,="090162000283",No,Yes,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Glastonbury School District",="0540011","Glastonbury School District","628 Hebron Avenue","Glastonbury","CT",="06033","860-652-7951",,"http://www.glastonburyus.org/",,,,,="0901620",No,No,,No,No,,,,,,,,,,,,,,
"Program","Glastonbury School District",="0541411","Glastonbury Transition Academy","1389 Neipsic Road","Glastonbury","CT",="06033","860-652-7971",,"https://sites.google.com/a/glastonburyus.org/pupil-services/programs/Transition-Academy",,"Public Transition Program",,,="090162001752",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Glastonbury School District",="0540411","Hebron Avenue School","1363 Hebron Avenue","Glastonbury","CT",="06033","860-652-7875","860-652-7887","http://sites.google.com/a/glastonburyus.org/hebron-avenue/",,,"Traditional/General Education",,="090162000284",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Glastonbury School District",="0540611","Hopewell School","1068 Chestnut Hill Rd.","South Glastonbury","CT",="06073","860-652-7895","860-652-7904","http://sites.google.com/a/glastonburyus.org/hopewell/home",,,"Traditional/General Education",,="090162000286",No,No,,No,No,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Glastonbury School District",="0540111","Links Academy","1389 Neipsic Road","Glastonbury","CT",="06033","860-652-7971","860-652-7983","https://sites.google.com/a/glastonburyus.org/pupil-services/programs/links",,"Special Education",,,="090162001801",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Glastonbury School District",="0540711","Naubuc School","84 Griswold St.","Glastonbury","CT","06033-1006","860-652-7918","860-652-7930","http://sites.google.com/a/glastonburyus.org/naubuc/home",,,"Traditional/General Education",,="090162000287",No,No,"Targeted Assistance",No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Glastonbury School District",="0540911","Nayaug Elementary School","222 Old Maids Ln.","South Glastonbury","CT",="06073","860-652-4949","860-652-4950","http://sites.google.com/a/glastonburyus.org/nayaug/",,,"Traditional/General Education",,="090162001447",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Glastonbury School District",="0540511","PreK-Eastbury","1389 Neipsic Road","Glastonbury","CT",="06033","860-652-7858",,"https://sites.google.com/a/glastonburyus.org/pupil-services/programs/preschool",,"Pre-Kindergarten",,,="090162001724",No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Glastonbury School District",="0545211","Smith Middle School","216 Addison Rd.","Glastonbury","CT",="06033","860-652-7040","860-652-4450","http://sites.google.com/a/glastonburyus.org/sms/",,,"Traditional/General Education",,="090162000282",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"College Affiliated Schools","Goodwin University Educational Services (GUES)",="2310118","Connecticut River Academy at Goodwin University","9 Riverside Drive","East Hartford","CT",="06118","860-913-2200",,"http://www.ctriveracademy.org",,,"Traditional/General Education","Yes",="090022601581",No,No,"Targeted Assistance",No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Program","Goodwin University Educational Services (GUES)",="2310318","Early College Advanced Manufacturing Pathway at Goodwin University","3 Pent Road","East Hartford","CT",="06118","860-929-3801",,"http://www.Ecampgu.org",,"Part-time Magnet",,"Yes",,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"College Affiliated School Districts","Goodwin University Educational Services (GUES)",="2310018","Goodwin University Educational Services (GUES)","1 Riverside Drive","East Hartford","CT",="06118","860-913-2028",,"http://www.goodwin.edu",,,,,="0900226",No,No,,No,No,,,,,,,,,,,,,,
"College Affiliated Schools","Goodwin University Educational Services (GUES)",="2310418","RiverTech at Goodwin University","6 Pent Road","East Hartford","CT",="06118","860-913-2173",,"http://rivertechgu.org",,,"Technical High School","Yes",,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0"
"College Affiliated Schools","Goodwin University Educational Services (GUES)",="2310218","Riverside Magnet School at Goodwin University","29 Willowbrook Road","East Hartford","CT",="06118","860-709-6800",,"http://www.riversidemagnetschool.org",,,"Traditional/General Education","Yes",="090022601627",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Granby School District",="0560711","Granby Alternative Program","97 Salmon Brook St.","Granby","CT",="06035","860-844-5250","860-844-6081","http://www.granbyschools.org",,"Expulsion Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Granby School District",="0560211","Granby B.E.A.R. Transition Academy","97 Salmon Brook Street","Granby","CT",="06035","860-844-5255","860-844-6081","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/991/GPS/2709229/Granby_Post-Seconda",,"Public Transition Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Granby School District",="0566111","Granby Memorial High School","54 North Granby Road","Granby","CT","06035-1804","860-844-3014","860-844-3029","http://www.granbyschools.org",,,"Traditional/General Education",,="090168000289",Yes,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Granby School District",="0565111","Granby Memorial Middle School","321 Salmon Brook St.","Granby","CT","06035-1804","860-844-3029","860-844-3039","http://www.granbyschools.org",,,"Traditional/General Education",,="090168000291",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Granby School District",="0560011","Granby School District","15-B North Granby Road","Granby","CT",="06035","860-844-5250","860-844-6081","http://www.granbyschools.org",,,,,="0901680",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Granby School District",="0560411","Kelly Lane Primary School","60 Kelly Ln.","Granby","CT","06035-2920","860-844-3041","860-413-9295","http://www.granbyschools.org",,,"Traditional/General Education",,="090168000290",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Granby School District",="0560311","Wells Road Intermediate School","134 Wells Rd.","Granby","CT","06035-1009","860-844-3048","860-844-6180","http://www.granbyschools.org",,,"Traditional/General Education",,="090168000293",No,No,,No,No,="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Charter Schools","Great Oaks Charter School District",="2940113","Great Oaks Charter School","375 Howard Avenue","Bridgeport","CT",="06605","203-870-8188","203-870-8189","https://gobpt.org/",,,"Charter School",,="090021901782",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Great Oaks Charter School District",="2940013","Great Oaks Charter School District","375 Howard Avenue","Bridgeport","CT",="06605","203-870-8188","203-870-8189","https://gobpt.org/",,,,,="0900219",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570182","Abilis, Inc. - Greenwich/Glenville","50 Glenville Street","Greenwich","CT",="06831","203-531-1880 x154","203-531-9367","https://www.abilis.us/","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0571021","Abilis, Inc. - LEAP/Greenwich","1 West Putnam Avenue","Greenwich","CT",="06831","203-531-1880 x154","203-531-9367","http://www.abilis.us","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0571121","Abilis, Inc. - Project SEARCH at Greenwich Hospital","5 Perryridge Road","Greenwich","CT",="06381","203-531-1880 x154","203-531-9367","http://www.abilis.us","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0576121","Brunswick School","100 Maher Avenue","Greenwich","CT",="06830","203-242-1220","203-625-5816","http://www.brunswickschool.org","Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570161","Eagle Hill School","45 Glenville Road","Greenwich","CT",="06831","203-622-9240",,"http://www.eaglehillschool.org","Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570521","Fusion Academy Greenwich","66 Gatehouse Road","Stamford","CT",="06902","585-413-8637",,"http://fusionacademy.com","Standard Non-Public",,,,,No,No,,Yes,Yes,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0576421","Greenwich Academy","200 North Maple Avenue","Greenwich","CT",="06830","203-625-8900","203-869-4921",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570221","Greenwich Catholic","471 North Street","Greenwich","CT",="06830","203-869-4000 x102","203-869-3405","http://www","Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570121","Greenwich Country Day","401 Old Church Road","Greenwich","CT","06830-0623","203-863-5651","203-622-6046",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0576221","Sacred Heart Greenwich","1177 King Street","Greenwich","CT",="06831","203-532-3532","203-531-5206",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0575221","The Greenwich Japanese School","6 Riverside,","Riverside","CT",="06878","203-629-9039","203-629-9660",,"Standard Non-Public",,,,,No,No,,No,No,="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Greenwich",="0570421","Whitby School","969 Lake Avenue","Greenwich","CT",="06831","203-869-8464","203-869-9445",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Greenwich School District",="0575111","Central Middle School","9 Indian Rock Ln.","Greenwich","CT","06830-4004","203-661-8500",,"http://www.greenwichschools.org/central-middle-school",,,"Traditional/General Education",,="090171000295",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Greenwich School District",="0571211","Community Connections","193 East Elm Greenwich","Greenwich","CT",="06830","203-625-7459","203-661-2373","http://www.greenwichschools.org/",,"Public Transition Program",,,="090171001664",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Greenwich School District",="0570211","Cos Cob School","300 East Putnam Ave.","Cos Cob","CT","06807-2545","203-869-4670",,"http://www.greenwichschools.org/cos-cob-school",,,"Traditional/General Education",,="090171000296",No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Greenwich School District",="0575211","Eastern Middle School","51 Hendrie Ave.","Riverside","CT","06878-1809","203-637-1744",,"http://www.greenwichschools.org/eastern-middle-school",,,"Traditional/General Education",,="090171000298",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Greenwich School District",="0570411","Glenville School","33 Riversville Rd.","Greenwich","CT","06831-3627","203-531-9287",,"http://www.greenwichschools.org/glenville-school",,,"Traditional/General Education",,="090171000299",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Greenwich School District",="0570117","Greenwich Adult Education","290 Greenwich Avenue","Greenwich","CT",="06830","203-625-7423","203-625-7476","http://www.greenwichace.com",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Greenwich School District",="0576111","Greenwich High School","10 Hillside Rd.","Greenwich","CT","06830-4835","203-625-8000",,"http://www.greenwichschools.org/greenwich-high-school",,,"Traditional/General Education",,="090171000300",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Greenwich School District",="0570011","Greenwich School District","290 Greenwich Ave","Greenwich","CT",="06830","203-625-7400",,"http://www.greenwichschools.org/",,,,,="0901710",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Greenwich School District",="0570511","Hamilton Avenue School","184 Hamilton Avenue","Greenwich","CT",="06830","203-869-1685",,"http://www.greenwichschools.org/hamilton-avenue-school",,,"Intradistrict Magnet School",,="090171000301",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Greenwich School District",="0571311","International School At Dundee","55 Florence Rd.","Riverside","CT",="06878","203-637-3800",,"http://www.greenwichschools.org/international-school-at-dundee",,,"Intradistrict Magnet School",,="090171001288",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
